Date,Level-USD/CAD,Lower Band,Level-Mid US/Canadian Dollar Economic Index,Upper Band,Level-Unfiltered,y-o-y USD/CAD,Stationary-US/Canadian Dollar Economic Index
4/24/1993,1.2605,1.267934559,1.272101495,1.277544487,1.257658459,7.146075454,8.86845616
4/25/1993,1.2595,1.268027514,1.272266747,1.277519699,1.256666946,6.758631351,9.102071573
4/26/1993,1.2585,1.268120468,1.2724981,1.277494911,1.255675433,6.371792019,9.302693984
4/27/1993,1.2715,1.268148354,1.272729453,1.277470124,1.268565099,7.346253255,9.171598063
4/28/1993,1.2732,1.268154551,1.273026907,1.277445336,1.270250671,7.366441647,9.418958236
4/29/1993,1.2724,1.268160748,1.273324361,1.277420548,1.269457461,7.42292092,9.018008657
4/30/1993,1.2702,1.268166945,1.273423512,1.27739576,1.267276133,7.014846419,9.548905071
5/1/1993,1.2693,1.268224267,1.273522663,1.277389563,1.266383771,7.669831848,9.77952771
5/2/1993,1.2684,1.26829863,1.273820117,1.277389563,1.26549141,7.52409064,9.922860701
5/3/1993,1.2675,1.268372994,1.274117571,1.277420548,1.264599048,7.378315453,10.11888742
5/4/1993,1.2727,1.268447357,1.274167147,1.277494911,1.269754915,7.82297248,10.17128204
5/5/1993,1.2763,1.268475244,1.274216722,1.277569275,1.273324361,8.06692809,10.27111363
5/6/1993,1.2707,1.268487637,1.274282823,1.277643638,1.267771889,6.991304897,10.28151332
5/7/1993,1.2711,1.268500031,1.274348924,1.277748986,1.268168494,6.81450846,10.27031368
5/8/1993,1.270233333,1.268512425,1.27443155,1.277891516,1.267309183,6.607723828,10.45773948
5/9/1993,1.269366667,1.268524819,1.274514176,1.27796588,1.266449872,6.30895717,10.43734076
5/10/1993,1.2685,1.268537213,1.274679428,1.278207561,1.265590561,6.010508287,10.37069942
5/11/1993,1.2749,1.268549607,1.27484468,1.278412061,1.271936243,6.414878867,10.23126306
5/12/1993,1.2747,1.268562001,1.275009932,1.278480227,1.27173794,6.579120295,9.653989873
5/13/1993,1.2727,1.26862552,1.275175185,1.278480227,1.269754915,6.314738175,9.011228875
5/14/1993,1.2743,1.26870608,1.275175185,1.278703318,1.271341335,6.744784689,8.840624267
5/15/1993,1.274766667,1.268786641,1.275175185,1.279000771,1.271804041,6.759126755,8.61843769
5/16/1993,1.275233333,1.268867201,1.275241285,1.279285831,1.272266747,6.974523248,8.45097907
5/17/1993,1.2757,1.268957057,1.275307386,1.279434558,1.272729453,7.19013991,8.258433302
5/18/1993,1.273,1.269050011,1.275356962,1.279750603,1.270052369,7.10063804,7.69443056
5/19/1993,1.2675,1.269142965,1.275406538,1.279967496,1.264599048,6.763604372,7.359982377
5/20/1993,1.2683,1.26923592,1.275406538,1.27997989,1.265392259,6.830873044,7.080639472
5/21/1993,1.2665,1.26929634,1.275406538,1.280128617,1.263607536,6.656328072,6.784549534
5/22/1993,1.265066667,1.269345916,1.275456113,1.280277344,1.262186367,6.568550986,6.636861429
5/23/1993,1.263633333,1.269395491,1.275505689,1.280364101,1.260765199,6.264853978,6.467335782
5/24/1993,1.2622,1.269445067,1.275505689,1.280376495,1.259344031,5.961218392,6.34414063
5/25/1993,1.2606,1.269513234,1.275505689,1.280525222,1.25775761,5.641395609,5.897825642
5/26/1993,1.2645,1.269587597,1.275687466,1.280562404,1.26162451,5.857314046,5.936021081
5/27/1993,1.2637,1.26966196,1.275869244,1.280686343,1.2608313,5.769311027,5.451553945
5/28/1993,1.2707,1.269736324,1.275935344,1.280983797,1.267771889,6.243884805,5.649057278
5/29/1993,1.271075,1.269754915,1.276001445,1.281281251,1.268143706,6.198515179,5.625107865
5/30/1993,1.27145,1.269754915,1.276051021,1.281522932,1.268515524,6.234768225,5.669124896
5/31/1993,1.271825,1.269754915,1.276100596,1.281859633,1.268887341,6.27101058,5.767609989
6/1/1993,1.2722,1.269754915,1.276216273,1.282334733,1.269259158,6.30724225,5.834404391
6/2/1993,1.2714,1.269810687,1.276331949,1.282582611,1.268465948,6.362616877,5.867177299
6/3/1993,1.2746,1.269885051,1.276414576,1.282997807,1.271638789,6.998766985,5.83083468
6/4/1993,1.2775,1.269959414,1.276497202,1.283308688,1.274514176,7.565099795,5.88643521
6/5/1993,1.277833333,1.270033778,1.276546777,1.283434693,1.27484468,8.10108028,6.129289317
6/6/1993,1.278166667,1.27008955,1.276596353,1.283992418,1.275175185,8.085054102,6.269369533
6/7/1993,1.2785,1.270139126,1.276695504,1.284187623,1.275505689,8.069038369,6.512075542
6/8/1993,1.283,1.270188702,1.276794655,1.284292971,1.279967496,8.452809082,6.825202471
6/9/1993,1.2806,1.270238277,1.276844231,1.284454092,1.277587866,8.274172958,6.680291943
6/10/1993,1.2791,1.270362216,1.276893807,1.284751545,1.276100596,7.975770287,6.735906313
6/11/1993,1.28,1.270510943,1.276943382,1.284853795,1.276992958,8.237173987,7.230436636
6/12/1993,1.2805,1.27065967,1.276992958,1.285076886,1.277488714,8.4603814,7.556673169
6/13/1993,1.281,1.270808397,1.277191261,1.285526165,1.277984471,8.477423269,7.649824157
6/14/1993,1.2815,1.270913745,1.277389563,1.285600528,1.278480227,8.4944542,7.764631336
6/15/1993,1.2796,1.271004634,1.277389563,1.2860653,1.276596353,8.281182382,7.675831727
6/16/1993,1.2804,1.271095523,1.277389563,1.286815131,1.277389563,7.99781264,7.320548841
6/17/1993,1.2771,1.271186411,1.277389563,1.28771369,1.274117571,7.649830018,6.75842402
6/18/1993,1.2749,1.271233921,1.277389563,1.287862417,1.271936243,7.314717725,6.819939632
6/19/1993,1.274533333,1.271266972,1.277439139,1.287899598,1.271572688,7.217803974,6.683707885
6/20/1993,1.274166667,1.271300022,1.277488714,1.287961568,1.271209133,7.295330368,6.650103711
6/21/1993,1.2738,1.271333073,1.27753829,1.288110295,1.270845579,7.372950373,6.958401848
6/22/1993,1.2785,1.271384714,1.277587866,1.288259022,1.275505689,7.938677903,6.811034874
6/23/1993,1.2807,1.271442552,1.277637441,1.288519294,1.277687017,7.923889276,6.870073593
6/24/1993,1.2825,1.27150039,1.277687017,1.291481438,1.27947174,8.127305929,6.636143172
6/25/1993,1.283,1.271558229,1.277786168,1.298180347,1.279967496,8.421933806,6.478057007
6/26/1993,1.2832,1.271585082,1.277885319,1.304947421,1.280165799,8.574939302,6.428591927
6/27/1993,1.2834,1.271601607,1.277934895,1.30836814,1.280364101,8.576924629,6.523858452
6/28/1993,1.2836,1.271618132,1.277984471,1.310022727,1.280562404,8.57890937,6.653847879
6/29/1993,1.2815,1.271634658,1.278182773,1.310722983,1.278480227,8.360515516,6.623095399
6/30/1993,1.2823,1.27165738,1.278381076,1.310946073,1.279273437,8.056800477,6.681731157
7/1/1993,1.2886,1.271682168,1.278430651,1.311113391,1.285519968,8.259425423,6.999308607
7/2/1993,1.2887,1.271706956,1.278480227,1.311200149,1.285619119,8.12579499,7.280524623
7/3/1993,1.28795,1.271731743,1.278480227,1.311212543,1.284875485,8.054249163,7.58184827
7/4/1993,1.2872,1.271750334,1.278480227,1.311361269,1.28413185,8.074678745,7.918735943
7/5/1993,1.28645,1.271766859,1.27867853,1.311565769,1.283388215,8.09513555,8.095516292
7/6/1993,1.2857,1.271783385,1.278876832,1.311716562,1.282644581,8.115619633,8.0865413
7/7/1993,1.2847,1.27179991,1.279075135,1.311762006,1.281653068,8.358487641,8.013384774
7/8/1993,1.2804,1.271828829,1.279273437,1.311762006,1.277389563,8.461097502,7.598204275
7/9/1993,1.2765,1.271861879,1.279372589,1.311799188,1.273522663,7.828589169,8.181493817
7/10/1993,1.277333333,1.27189493,1.27947174,1.311848763,1.274348924,8.094209486,8.363403913
7/11/1993,1.278166667,1.27192798,1.279719618,1.311921061,1.275175185,8.15374732,8.449319902
7/12/1993,1.279,1.271936243,1.279967496,1.312243303,1.276001445,8.213236371,8.386686925
7/13/1993,1.2783,1.271936243,1.279967496,1.312528363,1.275307386,8.125346459,8.359824632
7/14/1993,1.2834,1.271936243,1.279967496,1.312749387,1.280364101,8.532298358,8.608174239
